3d0c5b2f6d18aef79a518dc59105558c;Fig.71: WMO YAWL model for MunC
function;Process continue 15;{VB}{VB}{CD}
function;Fill in e-form;{VB}{IN}{NN}
function;Process continue 4;{VB}{VB}{CD}
function;Process continue 2;{VB}{VB}{CD}
function;Process continue 1;{VB}{VB}{CD}
function;Send e-mail to WMO;{VB}{NN}{TO}{NNP}
function;Fill in form under supervision;{VB}{IN}{NN}{IN}{NN}
function;Register mail;{NNP}{NN}
function;Redirect to desk;{VB}{TO}{NN}
function;Carry out house visit;{VB}{RP}{NN}{NN}
function;Process continue 16;{VB}{VB}{CD}
function;Start perform case specific tasks;{NNP}{VB}{NN}{JJ}{NNS}
function;Process continue 6;{VB}{VB}{CD}
function;Perform fitting;{VB}{JJ}
function;Receive WMO request via mail;{VB}{NNP}{NN}{IN}{NN}
function;Process continue 13;{VB}{VB}{CD}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Hand in filled form;{VB}{IN}{VBN}{NN}
function;Check decision by colleague;{VB}{NN}{IN}{NN}
function;Request cost estimation for modification;{NN}{NN}{NN}{IN}{NN}
function;Assess need for house visit and medical advice;{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
function;Send invoice;{VB}{NN}
function;Process continue 3;{VB}{VB}{CD}
function;Assign to available consultant;{VB}{TO}{JJ}{NN}
function;Formulate decision;{VB}{NN}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Record request in the system;{VB}{NN}{IN}{DT}{NN}
function;Process continue 14;{VB}{VB}{CD}
function;Receive recommendation;{VB}{NN}
function;Formulate advice;{VB}{NN}
function;Handle Payment;{VB}{NN}
function;Transfer amount to CAK;{NN}{NN}{TO}{NN}
function;Send order;{VB}{NN}
function;Determine offer;{NN}{NN}
function;Request a fitting;{VB}{DT}{JJ}
function;Estimate costs;{NNP}{NNS}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Process continue 12;{VB}{VB}{CD}
function;Determine amount;{NN}{NN}
function;Write e-mail with request;{VB}{JJ}{IN}{NN}
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
function;Execute order;{VB}{NN}
function;Start case options;{NNP}{NN}{NNS}
function;Examine customer;{VB}{NN}
function;Send confirmation of receipt;{VB}{NN}{IN}{NN}
function;Formulate indicative report;{VB}{JJ}{NN}
function;Proofread report;{NNP}{NN}
event;transportation facilities;{NN}{NNS}
event;PGB yes;{NN}{RB}
event;always;{RB}
event;status change to Fill in form under supervision;{NN}{NN}{TO}{VB}{IN}{NN}{IN}{NN}
event;approved;{VBN}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
event;status change to Transfer amount to CAK;{NN}{NN}{TO}{NN}{NN}{TO}{NN}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;status change to Determine offer;{NN}{NN}{TO}{VB}{NN}
event;status change to Assign to available consultant;{NN}{NN}{TO}{VB}{TO}{JJ}{NN}
event;always;{RB}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;status change to Send e-mail to WMO;{NN}{NN}{TO}{VB}{NN}{TO}{NNP}
event;status change to;{NN}{NN}{TO}
event;status change to Formulate indicative report;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Send order;{NN}{NN}{TO}{VB}{NN}
event;status change to Handle Payment;{NN}{NN}{TO}{VB}{NN}
event;status change to Estimate costs;{NN}{NN}{TO}{NNP}{NNS}
event;status change to Execute order;{NN}{NN}{TO}{VB}{NN}
event;rejected;{VBN}
event;status change to Assess need for house visit and medical advice;{NN}{NN}{TO}{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
event;status change to Receive recommendation;{NN}{NN}{TO}{VB}{NN}
event;status change to Record request in the system;{NN}{NN}{TO}{NNP}{NN}{IN}{DT}{NN}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;status change to Start perform case specific tasks;{NN}{NN}{TO}{NNP}{VB}{NN}{JJ}{NNS}
event;status change to Carry out house visit;{NN}{NN}{TO}{VB}{RP}{NN}{NN}
event;status change to Check decision by colleague;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to;{NN}{NN}{TO}
event;status change to Receive WMO request via mail;{NN}{NN}{TO}{VB}{NN}{NN}{IN}{NN}
event;status change to Register mail;{NN}{NN}{TO}{NNP}{NN}
event;status change to Plan examination with customer;{NN}{NN}{TO}{NNP}{NN}{IN}{NN}
event;status change to Formulate advice;{NN}{NN}{TO}{VB}{NN}
event;status change to Fill in e-form;{NN}{NN}{TO}{VB}{IN}{NN}
event;the end;{DT}{NN}
event;status change to Write e-mail with request;{NN}{NN}{TO}{VB}{JJ}{IN}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Start case options;{NN}{NN}{TO}{NNP}{NN}{NNS}
event;PGB no;{NNP}{DT}
event;status change to Perform fitting;{NN}{NN}{TO}{VB}{JJ}
event;status change to Hand in filled form;{NN}{NN}{TO}{VB}{IN}{VBN}{NN}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;help with the house hold;{NN}{IN}{DT}{NN}{NN}
event;status change to Redirect to desk;{NN}{NN}{TO}{VB}{TO}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Send confirmation of receipt;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;with PGB;{IN}{NN}
event;other;{JJ}
event;no PGB;{DT}{NN}
