0b81ea33edc99d268178bc16a21fcebc;Fig.15: GBA1 YAWL model for MunG
function;Archive;{NNP}
function;Receive payment;{VB}{NN}
function;Process payment;{VB}{NN}
function;No payment;{DT}{NN}
function;Inform customer via phone or mail;{VB}{NN}{IN}{NN}{CC}{NN}
function;Produce extract and sign;{VB}{NN}{CC}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Send extract;{VB}{NN}
function;Print application;{VB}{NN}
function;Send payment request;{VB}{NN}{NN}
function;Determine fees;{NN}{NNS}
event;status change to No payment;{NN}{NN}{TO}{DT}{NN}
event;status change to Process payment;{NN}{NN}{TO}{VB}{NN}
event;status change to  Receive payment;{NN}{NN}{TO}{VB}{NN}
event;status change to Determine fees;{NN}{NN}{TO}{VB}{NNS}
event;status change to Send extract;{NN}{NN}{TO}{VB}{NN}
event;admissible;{JJ}
event;status change to Archive;{NN}{NN}{TO}{NNP}
event;status change to Print application;{NN}{NN}{TO}{VB}{NN}
event;not admissible;{RB}{JJ}
event;status change to Send payment request;{NN}{NN}{TO}{VB}{NN}{NN}
event;the end;{DT}{NN}
event;status change to Fill in e-form;{NN}{NN}{TO}{VB}{IN}{NN}
