c32e9f56833fd04c88de75bb716bc982;Handling Simple Investment Measures
function;Release and Implementation of Measure;{NNP}{CC}{NNP}{IN}{NN}
function;Analysis;{NN}
function;Updating [Investment Orders];{VBG}{-LRB-}{NNP}{NNS}{-RRB-}
function;Period-End Closing and Settlement;{NNP}{NN}{CC}{NNP}
function;Measure Planning;{NN}{NNP}
function;Measure Processing;{NN}{NN}
function;Appropriation Request [Investment Orders];{NN}{NN}{-LRB-}{NN}{NNS}{-RRB-}
event;Period-end closing and settlement to be carried out;{JJ}{NN}{CC}{NN}{TO}{VB}{VBN}{RP}
event;Release and execution of measure completed;{NNP}{CC}{NN}{IN}{NN}{VBN}
event;Budget is updated;{NNP}{VBZ}{VBN}
event;Inv. profile specified w/summary settlement;{NNP}{.}
event;Valuation of balances affecting financial statement to be carried out;{NN}{IN}{NNS}{VBG}{JJ}{NN}{TO}{VB}{VBN}{RP}
event;Measure settled partially;{NN}{VBD}{RB}
event;Release and execution of measure to be triggered;{NNP}{CC}{NN}{IN}{NN}{TO}{VB}{VBN}
event;Investment profile with line item settlement is specified;{NN}{NN}{IN}{NN}{NN}{NN}{VBZ}{VBN}
event;Measure is settled completely;{NN}{VBZ}{VBN}{RB}
event;Appropri- ation request is to be processed;{NN}{:}{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Planned accrued depreciation and interest were transferred to CO;{NNP}{VBN}{NN}{CC}{NN}{VBD}{VBN}{TO}{NNP}
event;Simulation was carried out;{NN}{VBD}{VBN}{RP}
event;Internal order is to be created;{JJ}{NN}{VBZ}{TO}{VB}{VBN}
event;Program analysis completed;{NN}{NN}{VBD}
event;Order is processed;{NN}{VBZ}{VBN}
event;Order analysis completed;{NN}{NN}{VBD}
