80f21bbbd2115bb3824276c29a4a0b7c;Maintenance Planning
function;Maintenance Call Processing;{NNP}
function;Object Costing;{VB}{VBG}
function;Maintenance Plan Costing;{NN}{NN}{VBG}
function;Maintenance Plan Scheduling;{NN}{NN}{NN}
event;Maintenance Costs Determined;{NNP}{NNS}{VBN}
event;Maintenance plan calls are processed;{NN}{NN}{NNS}{VBP}{VBN}
event;Service entry sheet to be created for each maintenance item;{NNP}{NN}{NN}{TO}{VB}{VBN}{IN}{DT}{NN}{NN}
event;Maintenance call waits;{NN}{NN}{VBZ}
event;Service order should be created per maint. item;{NNP}{NN}{MD}{VB}{VBN}{IN}{NN}{.}
event;Maintenance plan is to be scheduled manually;{NN}{NN}{VBZ}{TO}{VB}{VBN}{RB}
event;Maintenance calls are updated;{NN}{NNS}{VBP}{VBN}
event;Call horizon is not reached;{VB}{NN}{VBZ}{RB}{VBN}
event;Maintenance plan to be scheduled according to maintenance strategy;{NN}{NN}{TO}{VB}{VBN}{VBG}{TO}{NN}{NN}
event;Dates + due maintenance packages are determined;{VBZ}{CC}{JJ}{NN}{NNS}{VBP}{VBN}
event;Schedule counter reading mtce plan;{VB}{RB}{VBG}{NN}{NN}
event;Call horizon is reached;{VB}{NN}{VBZ}{VBN}
event;Objects in Maintenance Plans Should Be Calculated;{NNS}{IN}{NNP}{MD}{VB}{VBN}
event;Maintenance plan released triggered;{NN}{NN}{VBN}{VBD}
event;Maintenance plan is to be scheduled automatically;{NN}{NN}{VBZ}{TO}{VB}{VBN}{RB}
event;Cost Estimates Should Be Made for Maintenance Plans;{NN}{NNS}{MD}{VB}{VBN}{IN}{NNP}{NNS}
event;Maintenance plan is created;{NN}{NN}{VBZ}{VBN}
