055bf954753eb607abdaab7d52898f78;Cash Flow Transactions [TR-MM]
function;Accounting;{NN}
function;Transaction Processing;{NN}{NN}
function;Closing Operations;{NN}{NNP}
event;Accrual/ deferral flows were generated;{NN}{:}{NN}{NNS}{VBD}{VBN}
event;Cash flow transaction was selected;{NN}{NN}{NN}{VBD}{VBN}
event;Key date valuation to be carried out;{NN}{NN}{NN}{TO}{VB}{VBN}{RP}
event;Transaction was posted;{NN}{VBD}{VBN}
event;Valuation flows were generated;{NN}{NNS}{VBD}{VBN}
event;Netting proposal was accepted;{VBG}{NN}{VBD}{VBN}
event;Accrual/ deferral is to be performed;{NN}{:}{NN}{VBZ}{TO}{VB}{VBN}
event;G/L posting was generated;{NN}{VBG}{VBD}{VBN}
event;Customer open items were generated;{NN}{JJ}{NNS}{VBD}{VBN}
event;Payment advice is sent;{NN}{NN}{VBZ}{VBN}
event;Payment medium transferred;{NN}{NN}{VBN}
event;Payment is transferred by EDI;{NN}{VBZ}{VBN}{IN}{NN}
