267687ead8f4142ad1f539c4b3bb6057;Fig.80: WOZ YAWL model for MunB
function;Create file;{VB}{NN}
function;Perform admissibility test municipality;{VB}{NN}{NN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Handle complaint municipality;{VB}{NN}{NN}
function;Assign responsible employee;{VB}{JJ}{NN}
function;Send advice;{VB}{NN}
function;Hearing requested;{NN}{VBD}
function;Default positive response;{NNP}{JJ}{NN}
function;Print digital form;{VB}{JJ}{NN}
function;Timeout;{NNP}
function;Sign form;{NN}{NN}
function;Handle on site;{VB}{IN}{NN}
function;Ask tax office advice;{VB}{NN}{NN}{NN}
function;Resolve complaint;{VB}{NN}
function;Send application;{VB}{NN}
function;Send acknowledgment;{VB}{NN}
function;Process continue 1;{VB}{VB}{CD}
function;Record objection;{VB}{NN}
function;Process eventual changes;{VB}{JJ}{NNS}
function;Register;{NNP}
function;Hold hearing;{VB}{NN}
function;Handle administrative;{VB}{JJ}
event;the end;{DT}{NN}
event;status change to Default positive response;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;status change to Handle administrative;{NN}{NN}{TO}{VB}{JJ}
event;no;{DT}
event;status change to Send decision to customer;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;status change to Print digital form;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Handle complaint municipality;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Send advice;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;status change to Sign form;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;status change to Assign responsible employee;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Record objection;{NN}{NN}{TO}{NNP}{NN}
event;status change to Handle on site;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Timeout;{NN}{NN}{TO}{NNP}
event;status change to Hearing requested;{NN}{NN}{TO}{NN}{VBD}
event;status change to Process eventual changes;{NN}{NN}{TO}{VB}{JJ}{NNS}
event;status change Send application;{NN}{NN}{VB}{NN}
event;yes;{RB}
event;status change to Create file;{NN}{NN}{TO}{VB}{NN}
event;status change to Register;{NN}{NN}{TO}{NNP}
event;status change to Perform admissibility test municipality;{NN}{NN}{TO}{VB}{JJ}{NN}{NN}
event;status change to Send acknowledgment;{NN}{NN}{TO}{VB}{NN}
