8dec18affbc1377fb49f969356dfbc31;Fig.17: GBA1 YAWL model for MunI
function;Ask customer to pay;{VB}{NN}{TO}{VB}
function;Decide whether to pay;{VB}{IN}{TO}{VB}
function;Send extract;{VB}{NN}
function;Produce extract and sign;{VB}{NN}{CC}{NN}
function;Print application;{VB}{NN}
function;No payment;{DT}{NN}
function;Fill in payment data and approve;{VB}{IN}{NN}{NNS}{CC}{VB}
function;Waiting for payment;{VBG}{IN}{NN}
function;Archive;{NNP}
function;Determine fees;{NN}{NNS}
function;Fill in e-form;{VB}{IN}{NN}
function;Process payment;{VB}{NN}
event;Process end;{VB}{NN}
event;No;{DT}
event;Start process;{NNP}{NN}
event;Yes;{UH}
