1ac61f5a5303ff3c71873b82337104c9;Fig.43: MOR YAWL model for MunE
function;Transmit handling problem;{VB}{VBG}{NN}
function;Information complete;{NN}{JJ}
function;Receive call during bus hours;{VB}{NN}{IN}{NN}{NNS}
function;Start case;{NNP}{NN}
function;Print ticket and give to responsible team leader;{VB}{NN}{CC}{VB}{TO}{JJ}{NN}{NN}
function;Ask for more information;{VB}{IN}{JJR}{NN}
function;Urgent issue;{JJ}{NN}
function;Possible solution;{JJ}{NN}
function;Receive confirmation;{VB}{NN}
function;Give assignment to contractor;{VB}{NN}{TO}{NN}
function;Concern lighting;{NN}{NN}
function;Known issue;{VBN}{NN}
function;Contact person who reported;{NN}{NN}{WP}{VBD}
function;Process continue;{VB}{VB}
function;Close case;{JJ}{NN}
function;Handle issue;{VB}{NN}
function;Printout receipt;{NNP}{NN}
function;Fill in contact info;{VB}{IN}{NN}{NN}
function;Agree with contractor;{VB}{IN}{NN}
function;Enter data in public light mgmt sys;{VB}{NNS}{IN}{JJ}{JJ}{NN}{NNS}
function;Issue signed invoice;{NN}{VBD}{NN}
function;Fill in info about issue;{VB}{IN}{NN}{IN}{NN}
function;Ask cust what product he is there for;{VB}{NN}{WDT}{NN}{PRP}{VBZ}{RB}{IN}
function;Need to plan in batch;{VBN}{TO}{VB}{IN}{NN}
function;Inform person who reported;{VB}{NN}{WP}{VBD}
function;Enter data about issue;{VB}{NNS}{IN}{NN}
function;Process continue 1;{VB}{VB}{CD}
function;Enter data about the informer;{VB}{NNS}{IN}{DT}{NN}
function;Direct to desk;{JJ}{TO}{NN}
event;status change to Give assignment to contractor;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;status change to Issue signed invoice;{NN}{NN}{TO}{NNP}{VBD}{NN}
event;status change to Fill in info about issue;{NN}{NN}{TO}{VB}{IN}{NN}{IN}{NN}
event;yes;{RB}
event;status change to Known issue;{NN}{NN}{TO}{VBN}{NN}
event;status change to Close case;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;status change to Direct to desk;{NN}{NN}{TO}{JJ}{TO}{NN}
event;status change to Start case;{NN}{NN}{TO}{NNP}{NN}
event;yes;{RB}
event;status change to Transmit handling problem;{NN}{NN}{TO}{VB}{VBG}{NN}
event;plan in batch;{NN}{IN}{NN}
event;status change to Urgent issue;{NN}{NN}{TO}{JJ}{NN}
event;status change to Receive call during bus hours;{NN}{NN}{TO}{VB}{NN}{IN}{NN}{NNS}
event;yes;{RB}
event;status change to Concerns lighting;{NN}{NN}{TO}{NNS}{VBG}
event;no;{DT}
event;status change to Information complete;{NN}{NN}{TO}{NNP}{JJ}
event;no;{DT}
event;no;{DT}
event;status change to Handle issue;{NN}{NN}{TO}{VB}{NN}
event;status change to Ask cust what product he is there for;{NN}{NN}{TO}{VB}{NN}{WDT}{NN}{PRP}{VBZ}{RB}{IN}
event;status change to Fill in contact info;{NN}{NN}{TO}{VB}{IN}{NN}{NN}
event;status change to Printout receipt;{NN}{NN}{TO}{NNP}{NN}
event;no;{DT}
event;status change to Possible solution;{NN}{NN}{TO}{JJ}{NN}
event;the end;{DT}{NN}
event;status change to Receive confirmation;{NN}{NN}{TO}{VB}{NN}
event;status change to Need to plan in batch;{NN}{NN}{TO}{VBN}{TO}{VB}{IN}{NN}
event;status change to Enter data about issue;{NN}{NN}{TO}{VB}{NNS}{IN}{NN}
