4a21ff860105fa50cd0c7dfd91699467;Transaction Processing
function;Netting Processing;{VBG}{NN}
function;Settlement;{NNP}
function;Process Commercial Paper;{VB}{NNP}
event;Commercial Paper was chosen;{NNP}{VBD}{VBN}
event;Cash management was updated;{NN}{NN}{VBD}{VBN}
event;Commercial Paper was edited;{NNP}{VBD}{VBN}
event;Netting proposal to be edited;{VBG}{NN}{TO}{VB}{VBN}
event;Netting proposal was accepted;{VBG}{NN}{VBD}{VBN}
event;Accrual/ deferral is to be performed;{NN}{:}{NN}{VBZ}{TO}{VB}{VBN}
event;Key date valuation to be carried out;{NN}{NN}{NN}{TO}{VB}{VBN}{RP}
