cc69a7a764632b0e5919486004f70f92;Incoming Data
function;Electronic Bank Statement;{NNP}
function;Create Payment Advice;{VB}{NN}{NNP}
function;Returned Bills of Exchange (Credit);{NNP}{NNS}{IN}{NNP}{-LRB-}{NNP}{-RRB-}
function;Manual Bank Statement;{NNP}
function;Payment Advice Processing;{NN}{NNP}
function;Bank Statement Postprocessing;{NNP}
function;Bill of Exchange Presentation (Debit);{NNP}{IN}{NNP}{NN}{-LRB-}{NN}{-RRB-}
function;Check Deposit Transaction;{VB}{NNP}
function;Lockbox (USA);{NNP}{-LRB-}{NNP}{-RRB-}
function;Automatic Incoming Payment Posting;{NNP}{JJ}{NN}{VBG}
function;Polling;{NN}
event;Bank/ customer payment advice for payment inflow/outflow;{NNP}{:}{NN}{NN}{NN}{IN}{NN}{NN}
event;Payment order with reference number received;{NN}{NN}{IN}{NN}{NN}{VBD}
event;Incoming payments were rejected;{JJ}{NNS}{VBD}{VBN}
event;Incoming payments were rejected;{JJ}{NNS}{VBD}{VBN}
event;Bank message about debit memo exists;{NNP}{NN}{IN}{NN}{NN}{VBZ}
event;Payment advice processing completed;{NN}{NN}{NN}{VBN}
event;Clearing is posted;{NNP}{VBZ}{VBN}
event;Planned value date to be compared with actual value date;{NNP}{NN}{NN}{TO}{VB}{VBN}{IN}{JJ}{NN}{NN}
event;Bill of exchange payment posted;{NNP}{IN}{NN}{NN}{VBD}
event;Bank sends DME file on bill holdings;{NNP}{VBZ}{NNP}{VB}{IN}{NN}{NNS}
event;Items to be dunned;{NNS}{TO}{VB}{VBN}
event;Electronic bank statements received;{JJ}{NN}{NNS}{VBD}
event;Carry out incoming payment via account statement transfer;{VB}{RP}{JJ}{NN}{IN}{NN}{NN}{NN}
event;Bank document posted;{NNP}{NN}{VBD}
event;Payment advice transferred to bank;{NN}{NN}{VBN}{TO}{NN}
event;Payment advices to be changed;{NN}{NNS}{TO}{VB}{VBN}
event;Payment advices to be archived;{NN}{NNS}{TO}{VB}{VBN}
event;Lockbox file has arrived;{NNP}{NN}{VBZ}{VBN}
event;Bill of exchange presentation completed;{NNP}{IN}{NN}{NN}{VBN}
event;Checks arrived;{NNS}{VBD}
event;Account statement entered;{NNP}{NN}{VBD}
event;Balance of bills of exchange payable to be settled;{NN}{IN}{NNS}{IN}{NN}{JJ}{TO}{VB}{VBN}
event;Cash Management advice notes exist;{NNP}{NN}{VBZ}{VBP}
event;Items to be dunned;{NNS}{TO}{VB}{VBN}
event;Payment advice created;{NN}{NN}{VBN}
event;Check deposit transaction entered;{VB}{NN}{NN}{VBD}
event;Items to be cleared using POR procedure (CH);{NNS}{TO}{VB}{VBN}{VBG}{NN}{NN}{-LRB-}{NN}{-RRB-}
event;Account statements imported;{NNP}{NNS}{VBN}
event;Clear items using bank procedure (specific to Germany);{JJ}{NNS}{VBG}{NN}{NN}{-LRB-}{JJ}{TO}{NNP}{-RRB-}
event;Account statement (paper) received;{NNP}{NN}{-LRB-}{NN}{-RRB-}{VBD}
