02d8f124731433d2e181c1fa040beb47;Fig.77: WMO YAWL model for MunI
function;Assess need for house visit and medical advice;{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
function;Receive recommendation;{VB}{NN}
function;Process continue 2;{VB}{VB}{CD}
function;Process continue 13;{VB}{VB}{CD}
function;Customer requests to seek bids;{NN}{NNS}{TO}{VB}{NNS}
function;Get customer;{VB}{NN}
function;Execute order;{VB}{NN}
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Start perform case specific tasks;{NNP}{VB}{NN}{JJ}{NNS}
function;Determine offer;{NN}{NN}
function;Formulate decision;{VB}{NN}
function;Higher than EUR 10000;{JJR}{IN}{$}{CD}
function;Obtain quotes;{VB}{NNS}
function;Go through app;{VB}{IN}{NN}
function;Examine customer;{VB}{NN}
function;Receive request ISD;{VB}{NN}{NN}
function;Assign to available consultant;{VB}{TO}{JJ}{NN}
function;Process continue 7;{VB}{VB}{CD}
function;Receive offers;{VB}{NNS}
function;Concerns PGB;{NNS}{NN}
function;Make preliminary decision;{VB}{JJ}{NN}
function;Decide about the report;{VB}{IN}{DT}{NN}
function;Send digital request to ISD;{VB}{JJ}{NN}{TO}{NN}
function;Pay part of invoice;{VB}{NN}{IN}{NN}
function;Record request ISD;{VB}{NN}{NN}
function;Need quotation;{VBN}{NN}
function;Estimate costs;{NNP}{NNS}
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Process continue 3;{VB}{VB}{CD}
function;Carry out house visit;{VB}{RP}{NN}{NN}
function;Process continue 1;{VB}{VB}{CD}
function;Record request;{VB}{NN}
function;Copy decision;{VB}{NN}
function;Get in contact about wrong charges;{VB}{IN}{NN}{IN}{JJ}{NNS}
function;Perform fitting;{VB}{JJ}
function;Process continue 12;{VB}{VB}{CD}
function;Process continue 4;{VB}{VB}{CD}
function;Report to reception;{NNP}{TO}{NN}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Receive confirmation;{VB}{NN}
function;Send invoice;{VB}{NN}
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
function;Determine amount;{NN}{NN}
function;Request a fitting;{VB}{DT}{JJ}
function;Process in the system;{VB}{IN}{DT}{NN}
function;Send order;{VB}{NN}
function;Process continue 6;{VB}{VB}{CD}
function;Formulate indicative report;{VB}{JJ}{NN}
function;Compare invoice to record;{VB}{NN}{TO}{NN}
function;Set indication;{VB}{NN}
function;Request cost estimation for modification;{NN}{NN}{NN}{IN}{NN}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
function;Send digital application to care provider;{VB}{JJ}{NN}{TO}{VB}{NN}
function;Process continue 5;{VB}{VB}{CD}
function;Pay full invoice;{VB}{JJ}{NN}
function;Archive;{NNP}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;status change to Execute order;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;status change to Assess need for house visit and medical advice;{NN}{NN}{TO}{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
event;only if no PGB;{RB}{IN}{DT}{NN}
event;status change to Higher than EUR 10000;{NN}{NN}{TO}{JJR}{IN}{$}{CD}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
event;status change to Go through app;{NN}{NN}{TO}{VB}{IN}{NN}
event;no;{DT}
event;status change to;{NN}{NN}{TO}
event;always;{RB}
event;always;{RB}
event;help with the house hold;{NN}{IN}{DT}{NN}{NN}
event;status change to Assign to available consultant;{NN}{NN}{TO}{VB}{TO}{JJ}{NN}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Pay part of invoice;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Record request;{NN}{NN}{TO}{NNP}{NN}
event;other;{JJ}
event;status change to Determine offer;{NN}{NN}{TO}{VB}{NN}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
event;status change to Carry out house visit;{NN}{NN}{TO}{VB}{RP}{NN}{NN}
event;status change to Report to reception;{NN}{NN}{TO}{VB}{TO}{NN}
event;no;{DT}
event;about household help;{IN}{NN}{NN}
event;always;{RB}
event;status change to Receive request ISD;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Record request ISD;{NN}{NN}{TO}{NNP}{NN}{NN}
event;status change to Get customer;{NN}{NN}{TO}{VB}{NN}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Compare invoice to record;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;yes;{RB}
event;no PGB;{DT}{NN}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;status change to;{NN}{NN}{TO}
event;transportation facilities;{NN}{NNS}
event;status change to Need quotation;{NN}{NN}{TO}{NNP}{NN}
event;status change to Formulate indicative report;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Start perform case specific tasks;{NN}{NN}{TO}{NNP}{VB}{NN}{JJ}{NNS}
event;with PGB;{IN}{NN}
event;always;{RB}
event;status change to Plan examination with customer;{NN}{NN}{TO}{NNP}{NN}{IN}{NN}
event;yes;{RB}
event;status change to Receive confirmation;{NN}{NN}{TO}{VB}{NN}
event;status change to Receive recommendation;{NN}{NN}{TO}{VB}{NN}
event;status change to;{NN}{NN}{TO}
event;no;{DT}
event;status change to Perform fitting;{NN}{NN}{TO}{VB}{JJ}
event;status change to Estimate costs;{NN}{NN}{TO}{NNP}{NNS}
event;status change to Get in contact about wrong charges;{NN}{NN}{TO}{VB}{IN}{NN}{IN}{JJ}{NNS}
event;status change to Concerns PGB;{NN}{NN}{TO}{NNS}{NN}
event;status change to Obtain quotes;{NN}{NN}{TO}{VB}{NNS}
event;the end;{DT}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Receive offers;{NN}{NN}{TO}{VB}{NNS}
