d4ee7355575eadc0ad2a70deaf11a581;Inspection During Production
function;Defects Recording;{NNS}{NNP}
function;Results Recording;{NNS}{NNP}
function;Usage Decision;{NN}{NN}
function;Sample Calculation and Sample Management;{VB}{NN}{CC}{NNP}
function;Inspection Lot Creation;{NNP}{NN}{NN}
event;Results for the physical sample are to be recorded;{NNS}{IN}{DT}{JJ}{NN}{VBP}{TO}{VB}{VBN}
event;Inspection lot is created automatically for order;{NNP}{NN}{VBZ}{VBN}{RB}{IN}{NN}
event;Results for operation must be recorded;{NNS}{IN}{NN}{MD}{VB}{VBN}
event;Physical-sample drawing is to be created with reference;{JJ}{NN}{VBZ}{TO}{VB}{VBN}{IN}{NN}
event;Enter defects from the inspection lot;{VB}{NNS}{IN}{DT}{NN}{NN}
event;Data is updated;{NNS}{VBZ}{VBN}
event;Vendor must be locked as regards this material;{NN}{MD}{VB}{VBN}{IN}{VBZ}{DT}{NN}
event;Inspection results are copied to general characteristics;{NNP}{NNS}{VBP}{VBN}{TO}{JJ}{NNS}
event;All characteristics are closed;{DT}{NNS}{VBP}{VBN}
event;Quality notification is activated from defects;{JJ}{NN}{VBZ}{VBN}{IN}{NNS}
event;Inspection completion is to be forced;{NNP}{NN}{VBZ}{TO}{VB}{VBN}
event;Last inspection point/  partial lot reached for last QM relevant operation;{JJ}{NN}{NN}{:}{JJ}{NN}{VBD}{IN}{JJ}{NN}{JJ}{NN}
event;Enter defects from the operation;{VB}{NNS}{IN}{DT}{NN}
event;Automatic label printing is triggered;{NNP}{NN}{NN}{VBZ}{VBN}
event;Vendor must be locked/ released;{NN}{MD}{VB}{VBN}{:}{VBN}
event;Sample is released;{NN}{VBZ}{VBN}
event;Inspection lot is to be created manually;{NNP}{NN}{VBZ}{TO}{VB}{VBN}{RB}
event;Inspection lot is to be created automatically for run schedule header;{NNP}{NN}{VBZ}{TO}{VB}{VBN}{RB}{IN}{NN}{NN}{NN}
event;QMIS updated;{NNS}{VBN}
event;Inspection point results to be recorded;{NNP}{NN}{VBZ}{TO}{VB}{VBN}
event;Inspection lot completion for skip is to be made;{NNP}{NN}{NN}{IN}{VB}{VBZ}{TO}{VB}{VBN}
event;Enter defects from the operation;{VB}{NNS}{IN}{DT}{NN}
event;Enter characteristic defects;{VB}{JJ}{NNS}
event;Defect is recorded;{NN}{VBZ}{VBN}
event;Usage decision is documented;{NN}{NN}{VBZ}{VBN}
event;Preferred goods receipt inspection lot is to be created automatically;{NNP}{NNS}{NN}{NN}{NN}{VBZ}{TO}{VB}{VBN}{RB}
event;Inspection completion is carried out;{NNP}{NN}{VBZ}{VBN}{RP}
event;Results for the sample are to be recorded;{NNS}{IN}{DT}{NN}{VBP}{TO}{VB}{VBN}
event;QMIS updated;{NNS}{VBN}
event;Enter defects from the inspection lot;{VB}{NNS}{IN}{DT}{NN}{NN}
event;Enter characteristic defects;{VB}{JJ}{NNS}
