e36b682efc4fcece261a47bce301f563;Order
function;Material Planning;{NNP}
function;Order Printing;{NNP}
function;Order Creation/ Processing;{NNP}{:}{NNP}
function;Order Release;{NNP}
function;Order Execution;{NNP}
function;Work Clearance Management;{NN}{NNP}
function;Order Permit;{NNP}
event;Maintenance notification is to be generated from maintenance order;{NN}{NN}{VBZ}{TO}{VB}{VBN}{IN}{NN}{NN}
event;Capacity Leveling or Planning Is Performed;{NN}{NN}{CC}{NNP}{VBZ}{VBN}
event;Maintenance order is to be created manually;{NN}{NN}{VBZ}{TO}{VB}{VBN}{RB}
event;Maintenance order is to be created for maintenance notification;{NN}{NN}{VBZ}{TO}{VB}{VBN}{IN}{NN}{NN}
event;Operations and Order Must Be Confirmed;{NNP}{CC}{NNP}{MD}{VB}{VBN}
event;Material reservation is created;{NN}{NN}{VBZ}{VBN}
event;Shop papers are to be printed from notification;{NNP}{NNS}{VBP}{TO}{VB}{VBN}{IN}{NN}
event;Capacity situation is to be evaluated;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Material withdrawal is to be posted;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Capacity is available;{NN}{VBZ}{JJ}
event;Material components are assigned via maintenance BOM;{NN}{NNS}{VBP}{VBN}{IN}{NN}{NN}
event;PM order is created and released;{NN}{NN}{VBZ}{VBN}{CC}{VBN}
event;Maintenance order is to be edited;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Material BOM is processed;{NN}{NN}{VBZ}{VBN}
event;Completion confirmations of time to be created using time sheet;{NN}{NNS}{IN}{NN}{TO}{VB}{VBN}{VBG}{NN}{NN}
event;Permits are assigned to the order;{NNS}{VBP}{VBN}{TO}{DT}{NN}
event;Maintenance order is created;{NN}{NN}{VBZ}{VBN}
event;Material withdrawal is not required;{NN}{NN}{VBZ}{RB}{VBN}
event;Maintenance order is printed;{NN}{NN}{VBZ}{VBN}
event;Material components are assigned directly;{NN}{NNS}{VBP}{VBN}{RB}
event;Order papers are to be printed;{NNP}{NNS}{VBP}{TO}{VB}{VBN}
event;Maintenance operation is performed;{NN}{NN}{VBZ}{VBN}
event;Maintenance requirement has arisen;{NN}{NN}{VBZ}{VBN}
event;External procurement is provided;{JJ}{NN}{VBZ}{VBN}
event;Material withdrawal is to be posted;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Material components are copied from maintenance task list;{NN}{NNS}{VBP}{VBN}{IN}{NN}{NN}{NN}
event;Maintenance order is released;{NN}{NN}{VBZ}{VBN}
event;Maintenance order to be created for WBS element or network;{NN}{NN}{TO}{VB}{VBN}{IN}{NN}{NN}{CC}{NN}
event;Capacity requirement is created;{NN}{NN}{VBZ}{VBN}
event;Order is to be performed;{NN}{VBZ}{TO}{VB}{VBN}
event;General maintenance task list is processed;{NNP}{NN}{NN}{NN}{VBZ}{VBN}
event;Notification and order assigned to one another;{NN}{CC}{NN}{VBN}{TO}{CD}{DT}
event;Release is refused;{NNP}{VBZ}{VBN}
event;Purchase requisition with vendor has been created;{NN}{NN}{IN}{NN}{VBZ}{VBN}{VBN}
event;Permit is to be assigned;{NN}{VBZ}{TO}{VB}{VBN}
event;Shop papers are to be printed from order;{NNP}{NNS}{VBP}{TO}{VB}{VBN}{IN}{NN}
event;Material withdrawal is not required;{NN}{NN}{VBZ}{RB}{VBN}
event;Order papers are to be printed;{NNP}{NNS}{VBP}{TO}{VB}{VBN}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Order is to be performed;{NN}{VBZ}{TO}{VB}{VBN}
event;Purchase requisitions can be ordered;{NN}{NNS}{MD}{VB}{VBN}
event;Material reservation can be withdrawn;{NN}{NN}{MD}{VB}{VBN}
event;Purchase requisition without source of supply created;{NN}{NN}{IN}{NN}{IN}{NN}{VBN}
event;Equipment must be installed, dismantled or modified;{NN}{MD}{VB}{VBN}{,}{VBN}{CC}{VBN}
event;Master data input is not required;{NN}{NNS}{NN}{VBZ}{RB}{VBN}
event;Permits Issued;{VBZ}{VBN}
event;Material components are to be assigned to the operation;{NN}{NNS}{VBP}{TO}{VB}{VBN}{TO}{DT}{NN}
event;Work Clearance Management Should Be Performed;{NN}{NNP}{MD}{VB}{VBN}
event;Shop papers are to be printed from order;{NNP}{NNS}{VBP}{TO}{VB}{VBN}{IN}{NN}
event;Maintenance order is to be released;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Services are to be entered;{NNPS}{VBP}{TO}{VB}{VBN}
