e62af9ca249b0b060939ef28165d21a4;Fig.86: WOZ YAWL model for MunH
function;Sign form;{NN}{NN}
function;Default positive response;{NNP}{JJ}{NN}
function;Handle on side;{VB}{IN}{NN}
function;Receive application via mail;{VB}{NN}{IN}{NN}
function;Hearing requested;{NN}{VBD}
function;Handle complaint municipality;{VB}{NN}{NN}
function;Send advice;{VB}{NN}
function;Handle administrative;{VB}{JJ}
function;Record objection;{VB}{NN}
function;Fill in form;{VB}{IN}{NN}
function;Create file;{VB}{NN}
function;Perform admissibility test municipality;{VB}{NN}{NN}{NN}
function;Process eventual changes;{VB}{JJ}{NNS}
function;Resolve complaint;{VB}{NN}
function;Send to tax office;{VB}{TO}{NN}{NN}
function;Send notification letter;{VB}{NN}{NN}
function;Hold hearing;{VB}{NN}
function;Send acknowledgment;{VB}{NN}
function;Possible to do assessment;{JJ}{TO}{VB}{NN}
function;Register;{NNP}
function;Assign responsible employee;{VB}{JJ}{NN}
function;Send response about admissibility;{VB}{NN}{IN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Perform admissibility test;{VB}{NN}{NN}
function;Ask tax office advice;{VB}{NN}{NN}{NN}
event;Process start;{VB}{NN}
event;no;{DT}
event;yes;{RB}
event;yes;{RB}
event;yes;{RB}
event;Process end;{VB}{NN}
event;no;{DT}
event;no;{DT}
event;Deadline;{NN}
event;Timeout;{NNP}
