02adbd2af3f58cafd860f024df2042b9;Fig.80: WOZ YAWL model for MunB
function;Process eventual changes;{VB}{JJ}{NNS}
function;Hold hearing;{VB}{NN}
function;Perform admissibility test municipality;{VB}{NN}{NN}{NN}
function;Send application;{VB}{NN}
function;Send acknowledgment;{VB}{NN}
function;Handle on site;{VB}{IN}{NN}
function;Hearing requested;{NN}{VBD}
function;Handle administrative;{VB}{JJ}
function;Sign form;{NN}{NN}
function;Create file;{VB}{NN}
function;Print digital form;{VB}{JJ}{NN}
function;Register;{NNP}
function;Resolve complaint;{VB}{NN}
function;Default positive response;{NNP}{JJ}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Ask tax office advice;{VB}{NN}{NN}{NN}
function;Record objection;{VB}{NN}
function;Send advice;{VB}{NN}
function;Assign responsible employee;{VB}{JJ}{NN}
function;Handle complaint municipality;{VB}{NN}{NN}
event;Timeout;{NNP}
event;no;{DT}
event;Process start;{VB}{NN}
event;Process end;{VB}{NN}
event;yes;{RB}
event;no;{DT}
event;yes;{RB}
