ce6190de076055bda1ac28a30b4d722b;Fig.88: WOZ YAWL model for MunJ
function;Send notification letter;{VB}{NN}{NN}
function;Send acknowledgment;{VB}{NN}
function;Resolve complaint;{VB}{NN}
function;Record objection;{VB}{NN}
function;Hearing requested;{NN}{VBD}
function;Handle complaint;{VB}{NN}
function;Record findings;{VB}{NNS}
function;Timeout;{NNP}
function;Create file;{VB}{NN}
function;Perform fast admissibility test 1;{VB}{RB}{JJ}{NN}{CD}
function;Handle on side;{VB}{IN}{NN}
function;Adjust value;{VB}{NN}
function;Process continue;{VB}{VB}
function;Receive phone call;{VB}{NN}{NN}
function;Process eventual changes;{VB}{JJ}{NNS}
function;Handle administrative;{VB}{JJ}
function;Deadline;{NN}
function;Possible to do assessment;{JJ}{TO}{VB}{NN}
function;Perform admissibility test;{VB}{NN}{NN}
function;Send advice;{VB}{NN}
function;Register objection;{NNP}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Send response about admissibility;{VB}{NN}{IN}{NN}
function;Send to tax office;{VB}{TO}{NN}{NN}
function;Print to digital form;{VB}{TO}{JJ}{NN}
function;Register;{NNP}
function;Contact customer;{NN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Start WOZ process;{NNP}{NN}
function;Complaint valid;{NN}{JJ}
function;Indicate pro forma objection is recommended;{VB}{FW}{FW}{NN}{VBZ}{VBN}
function;Default positive response;{NNP}{JJ}{NN}
function;Ask tax office advice;{VB}{NN}{NN}{NN}
function;Sort out objection;{VB}{RP}{NN}
function;Sign form;{NN}{NN}
function;Perform admissibility test municipality;{VB}{NN}{NN}{NN}
function;Fill in form;{VB}{IN}{NN}
function;Need soting out;{VBN}{VBG}{RP}
function;Hold hearing;{VB}{NN}
function;Send application;{VB}{NN}
event;yes;{RB}
event;status change to Register;{NN}{NN}{TO}{NNP}
event;status change to Possible to do assessment;{NN}{NN}{TO}{JJ}{TO}{VB}{NN}
event;status change to Timeout;{NN}{NN}{TO}{NNP}
event;Status change to Perform admissibility test;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Indicate pro forma objection is recommended;{NN}{NN}{TO}{VB}{FW}{FW}{NN}{VBZ}{VBN}
event;status change to Perform fast admissibility test 1;{NN}{NN}{TO}{VB}{JJ}{NN}{NN}{CD}
event;yes;{RB}
event;Status change to Send response about admissibility;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;status change to Process eventual changes;{NN}{NN}{TO}{VB}{JJ}{NNS}
event;no;{DT}
event;status change to Send notification letter;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change Send application;{NN}{NN}{VB}{NN}
event;status change to Record findings;{NN}{NN}{TO}{VB}{NNS}
event;status change to Start WOZ process;{NN}{NN}{TO}{NNP}{NN}
event;status change to Send advice;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;status change to Send acknowledgment;{NN}{NN}{TO}{VB}{NN}
event;status change to Register objection;{NN}{NN}{TO}{NNP}{NN}
event;yes;{RB}
event;the end;{DT}{NN}
event;status change to Handle on side;{NN}{NN}{TO}{VB}{IN}{NN}
event;Status change to Fill in form;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Record objection;{NN}{NN}{TO}{NNP}{NN}
event;status change to Adjust value;{NN}{NN}{TO}{VB}{NN}
event;status change to Contact customer;{NN}{NN}{TO}{NN}{NN}
event;status change to Print digital form;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Sign form;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;status change to Hearing requested;{NN}{NN}{TO}{NN}{VBD}
event;status change to Sort out objection;{NN}{NN}{TO}{VB}{RP}{NN}
event;status change to Handle complaint;{NN}{NN}{TO}{VB}{NN}
event;status change to Handle administrative;{NN}{NN}{TO}{VB}{JJ}
event;status change to Create file;{NN}{NN}{TO}{VB}{NN}
event;status change to Complaint valid;{NN}{NN}{TO}{NN}{JJ}
event;status change to Send decision to customer;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;status change to Deadline;{NN}{NN}{TO}{NN}
event;status change to Receive phone call;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Need soting out;{NN}{NN}{TO}{VBN}{VBG}{RP}
event;status change to Default positive response;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;status change to Fill in e-form;{NN}{NN}{TO}{VB}{IN}{NN}
