fcaddad6ba03ea6e78203f203cd07c07;Release and Implementation of Measure
function;Manual Entry of Statistical Key Figures [Investment Project];{NNP}{IN}{NNP}{NNS}{-LRB-}{NNP}{-RRB-}
function;Goods Issue Processing [Stock Material];{NNP}{-LRB-}{NNP}{-RRB-}
function;Cost Reposting;{NN}{NN}
function;Project Release;{NNP}
function;Direct Activity Allocation;{JJ}{NN}{NN}
function;Manual Funds Reduction;{NNPS}{NN}
function;Manual Funds Reservation;{NNP}
function;Reservation Processing;{NN}{NN}
event;Reserved funds are to be reduced;{VBN}{NNS}{VBP}{TO}{VB}{VBN}
event;Stock material is to be reserved;{NNP}{NN}{VBZ}{TO}{VB}{VBN}
event;Statistical figures are to be entered;{JJ}{NNS}{VBP}{TO}{VB}{VBN}
event;Wrongly-assigned object entered;{JJ}{NN}{VBD}
event;Funds are reserved;{NNS}{VBP}{VBN}
event;Internal Activity Was Allocated;{JJ}{NN}{VBD}{VBN}
event;Object to be assigned was debited;{VB}{TO}{VB}{VBN}{VBD}{VBN}
event;Posting was rejected due to budget overrun;{VBG}{VBD}{VBN}{JJ}{TO}{NN}{NN}
event;Project is released;{NN}{VBZ}{VBN}
event;Actual costs incurred are known;{JJ}{NNS}{VBN}{VBP}{VBN}
event;Statistical key figure was entered for reference object;{JJ}{JJ}{NN}{VBD}{VBN}{IN}{NN}{NN}
event;Open item is based on order;{VB}{NN}{VBZ}{VBN}{IN}{NN}
event;Budget is assigned;{NNP}{VBZ}{VBN}
event;Material withdrawal is to be posted;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Funds for anticipated costs are to be set aside;{NNS}{IN}{JJ}{NNS}{VBP}{TO}{VB}{VBN}{RB}
event;Open item was detailed;{VB}{NN}{VBD}{VBN}
event;Release and execution of measure to be triggered;{NNP}{CC}{NN}{IN}{NN}{TO}{VB}{VBN}
event;Goods issue is planned;{NNP}{NN}{VBZ}{VBN}
event;Material is reserved;{NN}{VBZ}{VBN}
event;Internal procurement to be triggered;{JJ}{NN}{TO}{VB}{VBN}
event;Accounts payable/ down payments to be triggered;{NNPS}{JJ}{:}{IN}{NNS}{TO}{VB}{VBN}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Internal Activity Should Be Allocated Internally;{JJ}{NN}{MD}{VB}{NNP}{RB}
event;Need for trip has arisen;{VBN}{IN}{NN}{VBZ}{VBN}
event;Posting error from primary system occurred;{VBG}{NN}{IN}{JJ}{NN}{VBD}
event;Reserved funds were reduced;{VBN}{NNS}{VBD}{VBN}
