34d351cff5042ea533844801d32c9d47;Warehouse Management
function;Difference Processing;{NN}{NN}
function;Confirmation;{NN}
function;Stock Placement Processing of Returns;{NNP}{IN}{NNPS}
event;Material placed in storage;{NN}{VBN}{IN}{NN}
event;Transfer order created automatically;{NN}{NN}{VBN}{RB}
event;Transfer order created manually;{NN}{NN}{VBN}{RB}
event;TO item confirmed without differences;{TO}{NN}{VBD}{IN}{NNS}
event;Transfer order item with difference exists;{NN}{NN}{NN}{IN}{NN}{VBZ}
event;Stock placement should be carried out via WCU;{NNP}{NN}{MD}{VB}{VBN}{RP}{IN}{NNP}
event;Goods movement is posted;{NNP}{NN}{VBZ}{VBN}
event;Transfer order item is confirmed;{NN}{NN}{NN}{VBZ}{VBN}
event;Physical inventory is to be carried out;{JJ}{NN}{VBZ}{TO}{VB}{VBN}{RP}
event;Difference must be adjusted in Inventory Management;{NN}{MD}{VB}{VBN}{IN}{NNP}
