d55435515d0c6c6b5827f62256a6a162;Fig.67: WABO2 YAWL model for MunI
function;Format intention to refuse;{NN}{NN}{TO}{VB}
function;Record request in system;{VB}{NN}{IN}{NN}
function;Archive final decision;{NNP}{JJ}{NN}
function;Process continue 5;{VB}{VB}{CD}
function;Ask additional info;{VB}{JJ}{NN}
function;Ask adjustment of request;{VB}{NN}{IN}{NN}
function;Send decision;{VB}{NN}
function;Archive decision;{NNP}{NN}
function;Sign final decision;{NN}{JJ}{NN}
function;Archive negative decision;{NNP}{JJ}{NN}
function;Publish negative decision;{VB}{JJ}{NN}
function;Informally check completeness;{RB}{VB}{NN}
function;Notify advisors;{VB}{NNS}
function;Test adm fire department;{NN}{NN}{NN}{NN}
function;Send procedure confirmation;{VB}{NN}{NN}
function;Ask VVGB;{VB}{NNP}
function;Process continue 4;{VB}{VB}{CD}
function;Determine procedure period;{NN}{NN}{NN}
function;Send final decision;{VB}{JJ}{NN}
function;Check completeness;{VB}{NN}
function;Time for advice expired;{NNP}{IN}{NN}{VBD}
function;Waiting for comments;{VBG}{IN}{NNS}
function;Hearing requested;{NN}{VBD}
function;Publish notice request;{VB}{NN}{NN}
function;Waiting for info;{VBG}{IN}{NN}
function;Test adm wealth;{NN}{NN}{NN}
function;Test adm architecture advisor;{NN}{NN}{NN}{NN}
function;Start case;{NNP}{NN}
function;Receive advice;{VB}{NN}
function;Right authority;{RB}{NN}
function;Process continue 3;{VB}{VB}{CD}
function;Receive request via mail;{VB}{NN}{IN}{NN}
function;Process continue;{VB}{VB}
function;Send acknowledgment;{VB}{NN}
function;Process result;{VB}{NN}
function;Register;{NNP}
function;Publish final decision;{VB}{JJ}{NN}
function;Forward to appropriate authority;{RB}{TO}{JJ}{NN}
function;Test adm urban planning;{NN}{NN}{JJ}{NN}
function;Receive requested info;{VB}{VBN}{NN}
function;Process continue 7;{VB}{VB}{CD}
function;Refuse permit;{VB}{NN}
function;Send negative decision;{VB}{JJ}{NN}
function;Waiting for VVGB;{VBG}{IN}{NN}
function;Test admissibility;{NN}{NN}
function;Assign investigating officer;{VB}{VBG}{NN}
