acacc9790b97d39ddb35eff133e5c904;Fig.73: WMO YAWL model for MunE
function;Determine offer;{NN}{NN}
function;Carry out house visit;{VB}{RP}{NN}{NN}
function;About household help;{IN}{NN}{NN}
function;Formulate decision;{VB}{NN}
function;Send request for offers;{VB}{NN}{IN}{NNS}
function;Request a fitting;{VB}{DT}{JJ}
function;Execute order;{VB}{NN}
function;Execute order;{VB}{NN}
function;Archive;{NNP}
function;Send order;{VB}{NN}
function;Record request in the system;{VB}{NN}{IN}{DT}{NN}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
function;Transfer amount to CAK;{NN}{NN}{TO}{NN}
function;Have phone conversation;{VBP}{NN}{NN}
function;Receive recommendation;{VB}{NN}
function;Perform fitting;{VB}{JJ}
function;Assess need of external advice;{VB}{NN}{IN}{JJ}{NN}
function;Directly send order;{RB}{VB}{NN}
function;Check decision by quality employee;{VB}{NN}{IN}{NN}{NN}
function;Archive decision;{NNP}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Estimate costs;{NNP}{NNS}
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Start perform case-specific tasks;{NNP}{VB}{JJ}{NNS}
function;Give or send decision;{VB}{CC}{VB}{NN}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Formulate request for offers;{VB}{NN}{IN}{NNS}
function;Send order;{VB}{NN}
function;Send confirmation of receipt;{VB}{NN}{IN}{NN}
function;Send e-mail to WMO;{VB}{NN}{TO}{NNP}
function;Record request in the system;{VB}{NN}{IN}{DT}{NN}
function;Redirect to desk;{VB}{TO}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Send invoice;{VB}{NN}
function;Clarify request;{VB}{NN}
function;Assign to available consultant;{VB}{TO}{JJ}{NN}
function;Request cost estimation for modification;{NN}{NN}{NN}{IN}{NN}
function;Examine customer;{VB}{NN}
function;Handle Payment;{VB}{NN}
function;Order sent;{NN}{VBD}
function;Receive WMO request via mail;{VB}{NNP}{NN}{IN}{NN}
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Determine amount;{NN}{NN}
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
function;Formulate indicative report;{VB}{JJ}{NN}
function;Register mail;{NNP}{NN}
function;Close case;{JJ}{NN}
function;Make offer;{VB}{NN}
function;Formulate decision;{VB}{NN}
event;house visit needed;{NN}{NN}{VBD}
event;with PGB;{IN}{NN}
event;no;{DT}
event;always;{RB}
event;yes;{RB}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;other;{JJ}
event;always;{RB}
event;Start case options;{NNP}{NN}{NNS}
event;no PGB;{DT}{NN}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
event;help with the house hold;{NN}{IN}{DT}{NN}{NN}
event;Process end;{VB}{NN}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;transportation facilities;{NN}{NNS}
