847f13e5b516efde47b952579f69ed7f;Fig.32: GBA3 YAWL model for MunD
function;Send extract;{VB}{NN}
function;go to the end;{VB}{TO}{DT}{NN}
function;Produce extract and sign;{VB}{NN}{CC}{NN}
function;Send mail to appropriate department;{VB}{NN}{TO}{JJ}{NN}
function;Register request;{NNP}{NN}
function;Determine whether requester is entitled;{VB}{IN}{NN}{VBZ}{VBN}
function;Process payment;{VB}{NN}
function;No payment;{DT}{NN}
function;Determine fees;{NN}{NNS}
function;Payment occur;{NN}{VBP}
function;Free;{NNP}
function;Send reminder;{VB}{NN}
function;No payment;{DT}{NN}
function;Enabling officer;{VBG}{NN}
function;Receive payment;{VB}{NN}
function;Send payment request;{VB}{NN}{NN}
function;Receive payment;{VB}{NN}
function;Process payment;{VB}{NN}
function;Determine if copy of ID is present;{VB}{IN}{NN}{IN}{NNP}{VBZ}{JJ}
function;Copy extract;{VB}{NN}
function;Inform customer via phone or mail;{VB}{NN}{IN}{NN}{CC}{NN}
function;Decide admissible;{VB}{JJ}
function;Archive;{NNP}
event;status change to Send extract;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;status change to Payment occur;{NN}{NN}{TO}{NN}{VBP}
event;status change to Send reminder;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;status change to Register request;{NN}{NN}{TO}{NNP}{NN}
event;status change to Determine fees;{NN}{NN}{TO}{VB}{NNS}
event;status change to Free;{NN}{NN}{TO}{NNP}
event;status change to Determine if copy of ID is present;{NN}{NN}{TO}{VB}{IN}{NN}{IN}{NNP}{VBZ}{JJ}
event;status change to Receive payment;{NN}{NN}{TO}{VB}{NN}
event;status change to Enabling officer;{NN}{NN}{TO}{VBG}{NN}
event;status change to Send mail to appropriate department;{NN}{NN}{TO}{VB}{NN}{TO}{JJ}{NN}
event;no;{DT}
event;status change to No payment;{NN}{NN}{TO}{DT}{NN}
event;the end;{DT}{NN}
event;status change to No payment;{NN}{NN}{TO}{DT}{NN}
event;Status change to Receive_payment;{NN}{NN}{TO}{NN}
event;status change to Decide admissible;{NN}{NN}{TO}{VB}{JJ}
event;status change to Copy extract;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;status change to Process payment;{NN}{NN}{TO}{VB}{NN}
event;status change to Determine whether requester is entitled;{NN}{NN}{TO}{VB}{IN}{NN}{VBZ}{VBN}
event;status change to Archive;{NN}{NN}{TO}{NNP}
event;status change to Process payment;{NN}{NN}{TO}{VB}{NN}
