6ebe07bdc2ba3855bfe6cc76fc2d937b;Fig.78: WMO YAWL model for MunJ
function;Request cost estimation for modification;{NN}{NN}{NN}{IN}{NN}
function;Assign to previous consultant;{VB}{TO}{JJ}{NN}
function;Assess need for house visit and medical advice;{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
function;Assign to available consultant;{VB}{TO}{JJ}{NN}
function;Archive file;{NNP}{NN}
function;Check WMO archive;{VB}{NNP}{NN}
function;Determine client own initiative;{VB}{NN}{JJ}{NN}
function;Estimate costs;{NNP}{NNS}
function;Perform fitting;{VB}{JJ}
function;Standard decision;{NNP}{NN}
function;Receive mail and send to approp dep;{VB}{NN}{CC}{VB}{TO}{VB}{NN}
function;PGB yes or no;{NN}{RB}{CC}{DT}
function;Record decision;{VB}{NN}
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Formulate decision;{VB}{NN}
function;Record request;{VB}{NN}
function;Formulate decision by consultant;{VB}{NN}{IN}{NN}
function;Request a fitting;{VB}{DT}{JJ}
function;Create file;{VB}{NN}
function;Carry out house visit;{VB}{RP}{NN}{NN}
function;Determine offer;{NN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Start perform case specific tasks;{NNP}{VB}{NN}{JJ}{NNS}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
function;Examine customer;{VB}{NN}
function;Execute order;{VB}{NN}
function;Fill in app form;{VB}{IN}{NN}{NN}
function;Receive recommendation;{VB}{NN}
function;Send invoice;{VB}{NN}
function;Check GBA;{VB}{NNP}
function;Formulate indicative report;{VB}{JJ}{NN}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Determine amount;{NN}{NN}
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
function;Send order;{VB}{NN}
function;Process payment;{VB}{NN}
event;transportation facilities;{NN}{NNS}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;always;{RB}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;Process start;{VB}{NN}
event;requestor unknown;{NN}{NN}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
event;no;{DT}
event;yes;{RB}
event;yes PGB;{RB}{NN}
event;always;{RB}
event;with PGB;{IN}{NN}
event;other;{JJ}
event;no PGB;{DT}{NN}
event;status change to Carry out house visit;{NN}{NN}{TO}{VB}{RP}{NN}{NN}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;help with the house hold;{NN}{IN}{DT}{NN}{NN}
event;Process end;{VB}{NN}
event;requestor known;{NN}{VBN}
event;no PGB;{DT}{NN}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
