02f935aa3798de2ab80f90ed24c017e9;Fig.26: GBA2 YAWL model for MunH
function;Give GBA extract;{VB}{NNP}{NN}
function;Decide whether to go on;{VB}{IN}{TO}{VB}{IN}
function;Receive payment;{VB}{NN}
function;Process payment;{VB}{NN}
function;Determine whether requester is entitled;{VB}{IN}{NN}{VBZ}{VBN}
function;No payment;{DT}{NN}
function;Give coupon;{VB}{NN}
function;Give receipt;{VB}{NN}
function;Determine whether proof of identity is present;{VB}{IN}{NN}{IN}{NN}{VBZ}{JJ}
function;Produce extract and sign;{VB}{NN}{CC}{NN}
function;Ask customer to bring ID;{VB}{NN}{TO}{VB}{NNP}
function;Ask customer to pay;{VB}{NN}{TO}{VB}
function;Go to the end;{VB}{TO}{DT}{NN}
function;Direct to right product;{JJ}{TO}{JJ}{NN}
function;Ask customer whether he has ID;{VB}{NN}{IN}{PRP}{VBZ}{VBN}
function;Call coupon holder;{VB}{NN}{NN}
function;Ask customer what product he is requesting;{VB}{NN}{WDT}{NN}{PRP}{VBZ}{VBG}
function;Determine if right product;{VB}{IN}{JJ}{NN}
function;Process continue;{VB}{VB}
function;Go to the end;{VB}{TO}{DT}{NN}
function;Determine fees;{NN}{NNS}
event;not free;{RB}{JJ}
event;status change to Ask customer whether he has ID;{NN}{NN}{TO}{VB}{NN}{IN}{PRP}{VBZ}{VBN}
event;status change to No payment;{NN}{NN}{TO}{DT}{NN}
event;status change to Give GBA extract;{NN}{NN}{TO}{VB}{NNP}{NN}
event;status change to Determine if right product;{NN}{NN}{TO}{VB}{IN}{JJ}{NN}
event;status change to Determine fees;{NN}{NN}{TO}{VB}{NNS}
event;right product;{JJ}{NN}
event;the end;{DT}{NN}
event;not;{RB}
event;yes;{RB}
event;status change to Give receipt;{NN}{NN}{TO}{VB}{NN}
event;not entitled;{RB}{VBN}
event;status change to Call coupon holder;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Process payment;{NN}{NN}{TO}{VB}{NN}
event;status change to Ask customer what product he is requesting;{NN}{NN}{TO}{VB}{NN}{WDT}{NN}{PRP}{VBZ}{VBG}
event;ID present;{NN}{JJ}
event;status change to Receive payment;{NN}{NN}{TO}{VB}{NN}
event;free;{JJ}
event;wrong product;{JJ}{NN}
event;status change  to Decide whether to go on;{NN}{NN}{TO}{VB}{IN}{TO}{VB}{IN}
event;entitled;{VBN}
event;no ID present;{DT}{NN}{JJ}
