4e8261b4ad32ef7bd1d588a5c7193390;Fig.76: WMO YAWL model for MunH
function;Record request ISD;{VB}{NN}{NN}
function;Process continue 4;{VB}{VB}{CD}
function;Archive;{NNP}
function;Perform fitting;{VB}{JJ}
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Formulate indicative report;{VB}{JJ}{NN}
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
function;Compare invoice to record;{VB}{NN}{TO}{NN}
function;Higher than EUR 10000;{JJR}{IN}{$}{CD}
function;Get in contact about wrong charges;{VB}{IN}{NN}{IN}{JJ}{NNS}
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Decide about the report;{VB}{IN}{DT}{NN}
function;Send request to ISD;{VB}{NN}{TO}{NN}
function;Send order;{VB}{NN}
function;Process continue 13;{VB}{VB}{CD}
function;Record request;{VB}{NN}
function;Receive offers;{VB}{NNS}
function;Determine offer;{NN}{NN}
function;Process continue 5;{VB}{VB}{CD}
function;Receive recommendation;{VB}{NN}
function;Determine amount;{NN}{NN}
function;Process continue 6;{VB}{VB}{CD}
function;Go through app;{VB}{IN}{NN}
function;Assign to available consultant;{VB}{TO}{JJ}{NN}
function;Start perform case specific tasks;{NNP}{VB}{NN}{JJ}{NNS}
function;Process continue 3;{VB}{VB}{CD}
function;Carry out house visit;{VB}{RP}{NN}{NN}
function;Pay part of invoice;{VB}{NN}{IN}{NN}
function;Request a fitting;{VB}{DT}{JJ}
function;Send invoice;{VB}{NN}
function;Get customer;{VB}{NN}
function;Estimate costs;{NNP}{NNS}
function;Need quotation;{VBN}{NN}
function;Receive request ISD;{VB}{NN}{NN}
function;Obtain quotes;{VB}{NNS}
function;Make preliminary decision;{VB}{JJ}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Give application form;{VB}{NN}{NN}
function;Customer requests to seek bids;{NN}{NNS}{TO}{VB}{NNS}
function;Report to reception;{NNP}{TO}{NN}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Receive confirmation;{VB}{NN}
function;Pay full invoice;{VB}{JJ}{NN}
function;Process continue 7;{VB}{VB}{CD}
function;Examine customer;{VB}{NN}
function;Process continue 12;{VB}{VB}{CD}
