03a2dd4aeacf7791e17ff508ba8f7eae;Fig.81: WOZ YAWL model for MunC
function;Send notification letter;{VB}{NN}{NN}
function;Create file;{VB}{NN}
function;Admissible;{JJ}
function;Handle administrative;{VB}{JJ}
function;Perform admissibility test municipality;{VB}{NN}{NN}{NN}
function;Process eventual changes;{VB}{JJ}{NNS}
function;Record objection;{VB}{NN}
function;Hold hearing;{VB}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Resolve complain;{VB}{VB}
function;Send advice;{VB}{NN}
function;Fill in form;{VB}{IN}{NN}
function;Send acknowledgment;{VB}{NN}
function;Handle complaint municipality;{VB}{NN}{NN}
function;Default positive response;{NNP}{JJ}{NN}
function;Hearing requested;{NN}{VBD}
function;Register;{NNP}
function;Sign form;{NN}{NN}
function;Handle on site;{VB}{IN}{NN}
function;Handle complaint;{VB}{NN}
function;Send application;{VB}{NN}
event;yes;{RB}
event;no;{DT}
event;Process start;{VB}{NN}
event;Process end;{VB}{NN}
