d6b7fe454fc7bca6577ec82aab5b2906;Fig.34: GBA3 YAWL model for MunF
function;Produce extract and sign;{VB}{NN}{CC}{NN}
function;Process payment;{VB}{NN}
function;Determine fees;{NN}{NNS}
function;Waiting for payment;{VBG}{IN}{NN}
function;Send extract;{VB}{NN}
function;Send mail to appropriate department in DMS;{VB}{NN}{TO}{JJ}{NN}{IN}{NNP}
function;Determine whether requester is entitled;{VB}{IN}{NN}{VBZ}{VBN}
function;Archive;{NNP}
function;Receive payment;{VB}{NN}
function;Copy extract;{VB}{NN}
function;Register request;{NNP}{NN}
function;Inform customer via phone or mail;{VB}{NN}{IN}{NN}{CC}{NN}
function;Decide admissible;{VB}{JJ}
function;No payment;{DT}{NN}
function;Send payment request;{VB}{NN}{NN}
function;Determine if copy of ID is present;{VB}{IN}{NN}{IN}{NNP}{VBZ}{JJ}
event;Process start;{VB}{NN}
event;yes;{RB}
event;no;{DT}
event;Process end;{VB}{NN}
event;not free;{RB}{JJ}
event;free;{JJ}
