c04db986ce2693566a38355dd8cfd6ab;Fig.83: WOZ YAWL model for MunE
function;Receive phone call;{VB}{NN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Perform conversation;{VB}{NN}
function;Print to digital form;{VB}{TO}{JJ}{NN}
function;Resolve complaint;{VB}{NN}
function;Sign form;{NN}{NN}
function;Record findings;{VB}{NNS}
function;Handle administrative;{VB}{JJ}
function;Record objection;{VB}{NN}
function;Perform admissibility test municipality;{VB}{NN}{NN}{NN}
function;Perform admissibility test;{VB}{NN}{NN}
function;Customer wants to give up complaint;{NN}{VBZ}{TO}{VB}{RP}{NN}
function;House visit wanted;{NNP}{NN}{VBD}
function;Send notification letter;{VB}{NN}{NN}
function;Process eventual changes;{VB}{JJ}{NNS}
function;Register;{NNP}
function;Adjust value;{VB}{NN}
function;Deadline;{NN}
function;Make appointment;{VB}{NN}
function;Fast procedure still needed;{JJ}{NN}{RB}{VBN}
function;Send application;{VB}{NN}
function;Create file;{VB}{NN}
function;Timeout;{NNP}
function;Send response about admissibility;{VB}{NN}{IN}{NN}
function;Fill in form;{VB}{IN}{NN}
function;Default positive response;{NNP}{JJ}{NN}
function;Hearing requested;{NN}{VBD}
function;Start WOZ process;{NNP}{NN}
function;Record value on side;{NNP}{NN}{IN}{NN}
function;Complaint valid;{NN}{JJ}
function;Handle on side;{VB}{IN}{NN}
function;Handle complaint municipality;{VB}{NN}{NN}
function;Possible to do assessment;{JJ}{TO}{VB}{NN}
function;Ask tax office advice;{VB}{NN}{NN}{NN}
function;Hold hearing;{VB}{NN}
function;Send advice;{VB}{NN}
function;Contact customer;{NN}{NN}
function;Send acknowledgment;{VB}{NN}
function;Send to tax office;{VB}{TO}{NN}{NN}
event;status change to Handle administrative;{NN}{NN}{TO}{VB}{JJ}
event;status change to Make appointment;{NN}{NN}{TO}{VB}{NN}
event;Status change to Fill in form;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Send to tax office;{NN}{NN}{TO}{VB}{TO}{NN}{NN}
event;status change to Timeout;{NN}{NN}{TO}{NNP}
event;status change to Sign form;{NN}{NN}{TO}{VB}{NN}
event;status change to Receive phone call;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Register;{NN}{NN}{TO}{NNP}
event;status change to Record findings;{NN}{NN}{TO}{VB}{NNS}
event;status change to Complaint valid;{NN}{NN}{TO}{NN}{JJ}
event;status change to Send decision to customer;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;status change to Perform conversation;{NN}{NN}{TO}{VB}{NN}
event;status change to Customer wants to give up complaint;{NN}{NN}{TO}{NN}{VBZ}{TO}{VB}{RP}{NN}
event;status change to Handle on side;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Send notification letter;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Resolve complaint;{NN}{NN}{TO}{VB}{NN}
event;Status change to Send response about admissibility;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;status change to Print digital form;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Send advice;{NN}{NN}{TO}{VB}{NN}
event;status change to Default positive response;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;status change Send application;{NN}{NN}{VB}{NN}
event;status change to Record value on side;{NN}{NN}{TO}{NNP}{NN}{IN}{NN}
event;status change to Create file;{NN}{NN}{TO}{VB}{NN}
event;status change to Hold hearing;{NN}{NN}{TO}{VB}{NN}
event;status change to Deadline;{NN}{NN}{TO}{NN}
event;status change to Process eventual changes;{NN}{NN}{TO}{VB}{JJ}{NNS}
event;status change to Fast procedure still needed;{NN}{NN}{TO}{JJ}{NN}{RB}{VBN}
event;the end;{DT}{NN}
event;Status change to Perform admissibility test;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Contact customer;{NN}{NN}{TO}{NN}{NN}
event;status change to Ask tax office advice;{NN}{NN}{TO}{VB}{NN}{NN}{NN}
event;status change to House visit wanted;{NN}{NN}{TO}{NNP}{NN}{VBD}
event;status change to Record objection;{NN}{NN}{TO}{NNP}{NN}
event;status change to Handle complaint municipality;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Hearing requested;{NN}{NN}{TO}{NN}{VBD}
event;status change to Possible to do assessment;{NN}{NN}{TO}{JJ}{TO}{VB}{NN}
event;status change to Adjust value;{NN}{NN}{TO}{VB}{NN}
event;status change to Send acknowledgment;{NN}{NN}{TO}{VB}{NN}
event;status change to Perform admissibility test municipality;{NN}{NN}{TO}{VB}{JJ}{NN}{NN}
event;status change to Start WOZ process;{NN}{NN}{TO}{NNP}{NN}
