9122f8b4ac80a66553084f5bbdaa1d7f;Cost and Activity Planning
function;Definition of Activity Type for Cost Center;{NN}{IN}{NN}{NN}{IN}{NN}{NN}
function;Plan Cost Assessment;{NNP}{NN}{NNP}
function;Cost Element Planning (Order with Integrated Planning);{NN}{NN}{NNP}{-LRB-}{NNP}{IN}{NNP}{-RRB-}
function;Transfer of Personnel Costs;{NN}{IN}{NNP}{NNS}
function;Transfer of Scheduled Activity PP - CO-ABC;{NN}{IN}{NNP}{:}{NN}
function;Plan Indirect Activity Allocation (Manual Entry);{NNP}{JJ}{NN}{NN}{-LRB-}{JJ}{NN}{-RRB-}
function;Budget Planning;{NNP}
function;Planning Revaluation;{NNP}
function;Order Budgeting;{NNP}
function;Resource Planning (Order);{NNP}{-LRB-}{NNP}{-RRB-}
function;Overhead Calculation (Business Process);{NN}{NN}{-LRB-}{NN}{VBP}{-RRB-}
function;Transfer of Depreciation/ Interest (Activity-Dependent);{NN}{IN}{NN}{:}{NN}{-LRB-}{JJ}{-RRB-}
function;Transfer of Scheduled Activity from PP to CO-OM-CCA;{NN}{IN}{NNP}{NN}{IN}{NN}{TO}{NN}
function;Splitting;{VBG}
function;Overhead Calculation (Cost Center);{NN}{NN}{-LRB-}{NN}{NN}{-RRB-}
function;Process Cost Planning;{VB}{NN}{NNP}
function;Overhead Calculation [Overhead Order];{NN}{NN}{-LRB-}{NN}{NN}{-RRB-}
function;Planned Price Calculation;{NNP}{NN}
function;Template Allocation;{NNP}
function;Primary Cost Planning (Full Costs);{JJ}{NN}{NNP}{-LRB-}{JJ}{NNS}{-RRB-}
function;Activity Type Planning;{NN}{NN}{NNP}
function;Plan Reconciliation;{NNP}
function;Cost Element Planning (Order);{NN}{NN}{NNP}{-LRB-}{NNP}{-RRB-}
function;Plan Cost Distribution;{NNP}{NN}{NN}
function;Secondary Cost Planning (Full Costs);{JJ}{NN}{NNP}{-LRB-}{JJ}{NNS}{-RRB-}
function;Primary Cost Planning (Prop./ Fixed);{JJ}{NN}{NNP}{-LRB-}{NNP}{.}
function;Transfer of Statistical Key Figures from LIS (Plan);{NN}{IN}{JJ}{NN}{NNS}{IN}{NN}{-LRB-}{NN}{-RRB-}
function;Formula Planning;{NNP}
function;Copy Plan from Previous Year to Cost Center Planning;{VB}{NNP}{IN}{JJ}{NN}{TO}{NN}{NNP}
function;Imputed Costs - Plan;{JJ}{NNS}{:}{NN}
function;Secondary Cost Planning (Prop./ Fixed);{JJ}{NN}{NNP}{-LRB-}{NNP}{.}
function;Planned Interest Calculation for Order;{NNP}{NN}{IN}{NN}
function;Plan Indirect Activity Allocation (Indirect Entry);{NNP}{JJ}{NN}{NN}{-LRB-}{JJ}{NN}{-RRB-}
function;Overall Planning (Order);{JJ}{NNP}{-LRB-}{NNP}{-RRB-}
function;Copy Actual Data to Cost Center Plan;{VB}{NNP}{TO}{NN}{NNP}
function;Unit Costing (Order);{NN}{NN}{-LRB-}{NN}{-RRB-}
function;Transfer of Depreciation/ Interest (Activity-Independent);{NN}{IN}{NN}{:}{NN}{-LRB-}{JJ}{-RRB-}
function;Periodic Reposting of Plan Data;{JJ}{NN}{IN}{NNP}
function;Process Quantity Planning;{VB}{NNP}
function;Redefinition of Plan Version;{NN}{IN}{NNP}
function;Settlement of Overhead Cost Orders (Planning Data);{NNP}{IN}{NN}{NN}{NNS}{-LRB-}{NNP}{-RRB-}
function;Resource Planning;{NNP}
function;Manual Planning of Statistical Key Figures;{NNP}{IN}{NNP}{NNS}
event;Process quantities (output) to be planned using SOP planning;{VB}{NNS}{-LRB-}{NN}{-RRB-}{TO}{VB}{VBN}{VBG}{NN}{NN}
event;Activity requirements transferred from production planning;{NN}{NNS}{VBN}{IN}{NN}{NN}
event;Business process is planned;{NN}{NN}{VBZ}{VBN}
event;Order Costs Are to Be Integrated in Cost Planning;{NNP}{NNS}{VBP}{TO}{VB}{NNP}{IN}{NN}{NNP}
event;Exist. cost planning is to be revaluated;{VB}{.}
event;Plan Reconciliation Performed;{NNP}
event;Activity requirements transferred from production planning;{NN}{NNS}{VBN}{IN}{NN}{NN}
event;Cost center planning prepared;{NN}{NN}{NN}{VBN}
event;Key figures from LIS to be transferred;{NN}{NNS}{IN}{NN}{TO}{VB}{VBN}
event;Primary cost planning to be carried out;{JJ}{NN}{VBG}{TO}{VB}{VBN}{RP}
event;New Period to Be Planned (New Definition of Plan Version);{NNP}{NN}{TO}{VB}{NNP}{-LRB-}{NNP}{IN}{NNP}{-RRB-}
event;Statistical key figure exists;{JJ}{JJ}{NN}{VBZ}
event;Plan Data for Order Exists;{NNP}{IN}{NNP}{VBZ}
event;Cost Center Plan Data Exists;{NN}{NNP}{VBZ}
event;;
event;Process costs were allocated;{VB}{NNS}{VBD}{VBN}
event;Planned Costs Accrued;{NNP}{NNS}{VBN}
event;Activity requirements transferred from production planning;{NN}{NNS}{VBN}{IN}{NN}{NN}
event;Secondary cost planning to be carried out;{JJ}{NN}{VBG}{TO}{VB}{VBN}{RP}
event;Order with Integrated Planning Was Settled;{NN}{IN}{NNP}{VBD}{VBN}
event;New Period to Be Planned (Copy of Previous Years Plan);{NNP}{NN}{TO}{VB}{NNP}{-LRB-}{VB}{IN}{JJ}{NNS}{NN}{-RRB-}
event;Statistical key figure was entered for reference object;{JJ}{JJ}{NN}{VBD}{VBN}{IN}{NN}{NN}
