9e61fce65eefac7486558486f9c36ad2;Fig.85: WOZ YAWL model for MunG
function;Possible to do assessment;{JJ}{TO}{VB}{NN}
function;Handle administrative;{VB}{JJ}
function;Hold hearing;{VB}{NN}
function;Send advice;{VB}{NN}
function;Send to tax office;{VB}{TO}{NN}{NN}
function;Create file;{VB}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Send notification letter;{VB}{NN}{NN}
function;Record objection;{VB}{NN}
function;Need to inspect site;{VBN}{TO}{VB}{NN}
function;Send acknowledgment;{VB}{NN}
function;Hearing requested;{NN}{VBD}
function;Inspect residence;{VB}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Send application;{VB}{NN}
function;Register;{NNP}
function;Fill in form;{VB}{IN}{NN}
function;Perform admissibility test;{VB}{NN}{NN}
function;Handle complaint municipality;{VB}{NN}{NN}
function;Perform admissibility test municipality;{VB}{NN}{NN}{NN}
function;Sign form;{NN}{NN}
function;Default positive response;{NNP}{JJ}{NN}
function;Process eventual changes;{VB}{JJ}{NNS}
event;Timeout;{NNP}
event;Start case;{NNP}{NN}
event;End case;{NNP}{NN}
event;no;{DT}
event;Deadline;{NN}
event;no;{DT}
event;yes;{RB}
event;yes;{RB}
