6ac2223c40216850b09efe015a7c1172;Fig.84: WOZ YAWL model for MunF
function;Process eventual changes;{VB}{JJ}{NNS}
function;Perform admissibility test municipality;{VB}{NN}{NN}{NN}
function;Inspect residence;{VB}{NN}
function;Need to inspect site;{VBN}{TO}{VB}{NN}
function;Perform admissibility test;{VB}{NN}{NN}
function;Register;{NNP}
function;Send application;{VB}{NN}
function;Possible to do assessment;{JJ}{TO}{VB}{NN}
function;Send acknowledgment;{VB}{NN}
function;Hold hearing;{VB}{NN}
function;Default positive response;{NNP}{JJ}{NN}
function;Ask tax office advice;{VB}{NN}{NN}{NN}
function;Fill in form;{VB}{IN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Hearing requested;{NN}{VBD}
function;Send advice;{VB}{NN}
function;Send to tax office;{VB}{TO}{NN}{NN}
function;Send notification letter;{VB}{NN}{NN}
function;Sign form;{NN}{NN}
function;Create file;{VB}{NN}
function;Send response about admissibility;{VB}{NN}{IN}{NN}
function;Record objection;{VB}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Handle administrative;{VB}{JJ}
function;Handle complaint;{VB}{NN}
event;no;{DT}
event;Deadline;{NN}
event;Timeout;{NNP}
event;Start case;{NNP}{NN}
event;yes;{RB}
event;End case;{NNP}{NN}
