7d1e0383141d6ec6141492987a90c8ce;Fig.81: WOZ YAWL model for MunC
function;Perform admissibility test municipality;{VB}{NN}{NN}{NN}
function;Resolve complain;{VB}{VB}
function;Hearing requested;{NN}{VBD}
function;Handle complaint municipality;{VB}{NN}{NN}
function;Handle administrative;{VB}{JJ}
function;Send application;{VB}{NN}
function;Create file;{VB}{NN}
function;Send acknowledgment;{VB}{NN}
function;Handle on site;{VB}{IN}{NN}
function;Send notification letter;{VB}{NN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Send advice;{VB}{NN}
function;Fill in form;{VB}{IN}{NN}
function;Sign form;{NN}{NN}
function;Process continue 2;{VB}{VB}{CD}
function;Record objection;{VB}{NN}
function;Admissible;{JJ}
function;Process continue 1;{VB}{VB}{CD}
function;Process eventual changes;{VB}{JJ}{NNS}
function;Handle complaint;{VB}{NN}
function;Default positive response;{NNP}{JJ}{NN}
function;Hold hearing;{VB}{NN}
function;Register;{NNP}
event;status change Send application;{NN}{NN}{VB}{NN}
event;status change to Record objection;{NN}{NN}{TO}{NNP}{NN}
event;status change to Register;{NN}{NN}{TO}{NNP}
event;status change to Send decision to customer;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;the end;{DT}{NN}
event;status change to Admissible;{NN}{NN}{TO}{NN}
event;status change to Hold hearing;{NN}{NN}{TO}{VB}{NN}
event;status change to Resolve complain;{NN}{NN}{TO}{VB}{VB}
event;status change to Hearing requested;{NN}{NN}{TO}{NN}{VBD}
event;status change to Send advice;{NN}{NN}{TO}{VB}{NN}
event;status change to Sign form;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;status change to Send notification letter;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Handle complaint;{NN}{NN}{TO}{VB}{NN}
event;status change to Fill in form;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Handle on site;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Create file;{NN}{NN}{TO}{VB}{NN}
event;status change to Default positive response;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;status change to Handle administrative;{NN}{NN}{TO}{VB}{JJ}
event;yes;{RB}
event;status change to Perform admissibility test municipality;{NN}{NN}{TO}{VB}{JJ}{NN}{NN}
event;status change to Process eventual changes;{NN}{NN}{TO}{VB}{JJ}{NNS}
event;status change to Send acknowledgment;{NN}{NN}{TO}{VB}{NN}
event;status change to Handle complaint municipality;{NN}{NN}{TO}{VB}{NN}{NN}
